walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,complete_oos_periods,positive_oos_period_rate,median_oos_annualized_return,worst_oos_annualized_return,best_oos_annualized_return,median_oos_sharpe,stitched_oos_annualized_return,stitched_oos_sharpe,orientation_positive_rate,orientation_changes,post_selection_oos_warning,regime_variable,regime_state,observations,mean_daily_return,annualized_return_approx,sharpe,positive_day_rate
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,30,0.5,-6.859319066743197e-05,-0.31509571371081413,0.44413784168652004,0.08907842174958433,-0.006680678206891888,0.04644107301360465,0.4,8,True,correlation_state,high_correlation,1145,-0.00016598623493161072,-0.0418285312027659,-0.18369832704657768,0.4777292576419214
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,30,0.5,-6.859319066743197e-05,-0.31509571371081413,0.44413784168652004,0.08907842174958433,-0.006680678206891888,0.04644107301360465,0.4,8,True,correlation_state,low_correlation,2625,0.00011777131845732362,0.02967837225124555,0.21201814270751168,0.528
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,30,0.5333333333333333,0.028387235322365645,-0.23329137267543232,0.25503619987658266,0.26041560344793196,0.0083575227369872,0.12915085563620493,0.8,5,True,risk_free_state,above_2pct,1260,-2.8079959780837776e-06,-0.000707614986477112,-0.005468490562829956,0.5111111111111111
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,30,0.5333333333333333,0.028387235322365645,-0.23329137267543232,0.25503619987658266,0.26041560344793196,0.0083575227369872,0.12915085563620493,0.8,5,True,risk_free_state,at_or_below_2pct,2510,9.953325456695506e-05,0.025082380150872677,0.1982579130068931,0.5239043824701195
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,30,0.5333333333333333,0.028387235322365645,-0.23329137267543232,0.25503619987658266,0.26041560344793196,0.0083575227369872,0.12915085563620493,0.8,5,True,volatility_state,high_volatility,1301,-0.00015842185728401012,-0.03992230803557055,-0.24016575080909214,0.5157571099154497
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,30,0.5333333333333333,0.028387235322365645,-0.23329137267543232,0.25503619987658266,0.26041560344793196,0.0083575227369872,0.12915085563620493,0.8,5,True,volatility_state,low_volatility,2469,0.00018323095599723322,0.04617420091130277,0.4560945504473078,0.5216686917780478
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,30,0.5333333333333333,0.028387235322365645,-0.23329137267543232,0.25503619987658266,0.26041560344793196,0.0083575227369872,0.12915085563620493,0.8,5,True,dispersion_state,high_dispersion,1978,-0.0001522379990945793,-0.03836397577183399,-0.24714257795745964,0.5
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,30,0.5333333333333333,0.028387235322365645,-0.23329137267543232,0.25503619987658266,0.26041560344793196,0.0083575227369872,0.12915085563620493,0.8,5,True,dispersion_state,low_dispersion,1792,0.00030547832379450307,0.07698053759621477,0.8849291070538222,0.5412946428571429
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,30,0.5333333333333333,0.028387235322365645,-0.23329137267543232,0.25503619987658266,0.26041560344793196,0.0083575227369872,0.12915085563620493,0.8,5,True,correlation_state,high_correlation,1145,-0.00010157282388220757,-0.025596351618316308,-0.15429533066128945,0.514410480349345
short|low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,True,1,ensemble,1,4181.0,0.0,4181.0,1.0,short,30,0.5333333333333333,0.028387235322365645,-0.23329137267543232,0.25503619987658266,0.26041560344793196,0.0083575227369872,0.12915085563620493,0.8,5,True,correlation_state,low_correlation,2625,0.00013813001042887592,0.03480876262807673,0.3269267402846871,0.5219047619047619
